season,player,nationality,position_group,GK,RB,RWB,CB,LB,LWB,DM,CM,AM,RM,RW,LM,LW,ST,position_source,needs_review,notes
1996/97,Des Hamilton,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,Peter Beardsley,ENG,Forward,false,false,false,false,false,false,false,false,true,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,Alan Shearer,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1996/97,Les Ferdinand,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1996/97,Faustino Asprilla,COL,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1996/97,David Ginola,FRA,Forward,false,false,false,false,false,false,false,false,false,false,false,false,true,false,screenshot_nationality+local_enhanced_exact,false,
1996/97,Paul Brayson,ENG,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
1997/98,Peter Keen,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Shay Given,IRL,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Shaka Hislop,TTO,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Pavel Srnicek,CZE,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_player,false,
1997/98,Steve Harper,ENG,Goalkeeper,true,false,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Warren Barton,ENG,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Andy Griffin,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Stuart Pearce,ENG,Defender,false,false,false,false,true,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Darren Peacock,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Steve Howey,ENG,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Aaron Hughes,NIR,Defender,false,true,false,false,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Phillipe Albert,BEL,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Paddy Kelly,SCO,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,David Terrier,FRA,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Nikos Dabizas,GRE,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Stuart Elliott,ENG,Defender,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Alessandro Pistone,ITA,Defender,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Robin Hulbert,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,manual_position_override,false,
1997/98,Ralf Keidel,GER,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Brian Pinas,NED,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,David Batty,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Robert Lee,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,John Barnes,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Gary Speed,WAL,Midfielder,false,false,false,false,false,false,false,true,false,false,false,true,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Temuri Ketsbaia,GEO,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Keith Gillespie,NIR,Midfielder,false,false,false,false,false,false,false,false,false,false,true,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Steve Watson,ENG,Midfielder,false,false,false,true,false,false,false,false,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Jamie McClen,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_player,false,
1997/98,James Coppinger,ENG,Midfielder,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_player,false,
1997/98,Paul Barrett,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_player,false,
1997/98,Des Hamilton,ENG,Midfielder,false,false,false,false,false,false,false,true,false,false,false,false,false,false,screenshot_nationality+local_enhanced_exact,false,
1997/98,Ian Rush,WAL,Forward,false,false,false,false,false,false,false,false,false,false,false,false,false,true,screenshot_nationality+local_enhanced_exact,false,
